id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
BE1	Jupiler Pro League	Belgium	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BE2	Challenger Pro League	Belgium	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024		9		rule:default
BE3A	1ste Nationale FFA	Belgium	UEFA	3	core_club	wettbewerb	1	2026	2024				rule:default
BE3V	1ste Nationale VV	Belgium	UEFA	3	core_club	wettbewerb	1	2026	2024				rule:default
BE5A	3de Nationale VV A	Belgium	UEFA	5	amateur	wettbewerb	1	2026	2021,2022,2023,2024				rule:tier 5
BE5B	3de Nationale VV B	Belgium	UEFA	5	amateur	wettbewerb	1	2026	2021,2022,2023,2024				rule:tier 5
BESC	Volkswagen Supercup	Belgium	UEFA	supercup	core_club	pokal	1	2026					rule:default
BGD1	Bangladesh Football League	Bangladesh	AFC	1	core_club	wettbewerb	1	2026	2015,2017,2018,2019,2020,2021,2022,2023,2024		13331		rule:default
BH1L	Bhutan Premier League	Bhutan	AFC	1	core_club	wettbewerb	1	2025	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023		22397		rule:default
BH2S	Prva Liga RS	Bosnia-Herzegovina	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BI17	Premijer Liga BiH U17	Bosnia-Herzegovina	UEFA	youth	youth	wettbewerb	1	2026	2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:youth
BI19	Premijer Liga BiH U19	Bosnia-Herzegovina	UEFA	youth	youth	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:youth
BO1A	División Profesional	Bolivia	Americas	1	core_club	wettbewerb	1	2025	2019,2020,2021,2022		16736		rule:default
BOL2	Copa Simón Bolívar - Fase Departamental	Bolivia	Americas	2	core_club	pokal	1	2025					rule:default
BOS1	Premijer Liga Bosne i Hercegovine	Bosnia-Herzegovina	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BOS2	Prva liga FBiH	Bosnia-Herzegovina	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BRA1	Campeonato Brasileiro Série A	Brazil	Americas	1	core_club	wettbewerb	1	2025	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023				rule:default
BRA2	Campeonato Brasileiro Série B	Brazil	Americas	2	core_club	wettbewerb	1	2025	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023				rule:default
BRA3	Campeonato Brasileiro Série C	Brazil	Americas	3	core_club	pokal	1	2025					rule:default
BRA4	Campeonato Brasileiro Série D	Brazil	Americas	4	core_club	pokal	1	2025					rule:default
BRAC	Campeonato Acreano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRAL	Campeonato Alagoano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRAP	Campeonato Amapaense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRBL	Brandenburgliga	Germany	UEFA	6	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 6
BRC	Copa do Brasil	Brazil	Americas	cup	core_club	pokal	1	2025		9067			rule:default
BRCB	Campeonato Baiano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRCC	Troféu Farroupilha	Brazil	Americas	cup	core_club	pokal	1	2025					rule:default
BRCE	Campeonato Cearense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRCG	Campeonato Carioca	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRCM	Campeonato Mineiro	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
